txnode;txpower;plen;rxnode;request;n;mean;min;max;q1;median;q3;stddev;loss;noise_n;noise_mean;noise_stddev;alive_n;millitimeStart;millitimeStop
6;31;0;4;0;7388;-21.381023;-23.0;-20.0;-22.0;-21.0;-21.0;1.410592;0.001622;977;75.590583;1.338366;487;1338119778234;1338884512436
6;31;0;5;0;7391;-22.970505;-31.0;-17.0;-25.0;-23.0;-21.0;2.565398;0.001216;981;75.277268;1.830742;492;1338119778234;1338884512436
6;31;0;7;0;3916;-44.349847;-46.0;-43.0;-45.0;-44.0;-44.0;1.050538;0.470811;979;76.949949;0.986902;489;1338119778234;1338884512436
6;31;0;10;0;7400;-8.796486;-13.0;-5.0;-10.0;-9.0;-8.0;2.376608;0.000000;978;76.336401;3.729646;500;1338119778234;1338884512436
6;31;0;12;0;7400;-13.405135;-19.0;-9.0;-15.0;-13.0;-12.0;2.130536;0.000000;980;74.191837;2.511655;495;1338119778234;1338884512436
6;31;0;13;0;7384;-20.911024;-24.0;-16.0;-21.0;-21.0;-19.0;2.250485;0.002162;982;76.414460;2.160793;501;1338119778234;1338884512436
6;31;0;14;0;3821;-44.305679;-46.0;-43.0;-45.0;-44.0;-44.0;1.005348;0.483649;982;77.596741;0.676012;501;1338119778234;1338884512436
6;31;0;17;0;6056;-44.434115;-48.0;-40.0;-46.0;-44.0;-43.0;1.961635;0.181622;989;75.254803;0.554508;494;1338119778234;1338884512436
6;31;0;22;0;7360;-29.213995;-39.0;-23.0;-32.0;-30.0;-27.0;3.265694;0.005405;978;74.019427;1.981137;490;1338119778234;1338884512436
6;31;0;25;0;7400;-11.528514;-15.0;-9.0;-13.0;-11.0;-10.0;1.866398;0.000000;980;74.725510;3.238110;494;1338119778234;1338884512436
6;31;0;28;0;7366;-24.344285;-29.0;-19.0;-25.0;-23.0;-22.0;3.686472;0.004595;980;77.209184;2.835302;491;1338119778234;1338884512436
6;31;0;29;0;7400;-7.984054;-11.0;-4.0;-9.0;-8.0;-7.0;1.489437;0.000000;980;72.203061;4.144059;485;1338119778234;1338884512436
6;31;0;30;0;7377;-21.590755;-25.0;-18.0;-22.0;-21.0;-20.0;2.920575;0.003108;984;73.704268;1.589942;492;1338119778234;1338884512436
6;31;0;31;0;7400;-16.330000;-20.0;-12.0;-17.0;-17.0;-15.0;0.994521;0.000000;983;73.478128;2.736061;495;1338119778234;1338884512436
6;31;0;32;0;7400;-12.480270;-18.0;-8.0;-14.0;-13.0;-11.0;1.847223;0.000000;988;77.179150;2.516267;495;1338119778234;1338884512436
6;31;0;33;0;7351;-34.152088;-40.0;-30.0;-36.0;-33.0;-33.0;2.163958;0.006622;979;76.052094;1.651158;496;1338119778234;1338884512436
6;31;0;35;0;7391;-19.577459;-25.0;-14.0;-21.0;-19.0;-18.0;2.297360;0.001216;979;74.851890;3.017252;495;1338119778234;1338884512436
6;31;0;36;0;7385;-23.888558;-36.0;-15.0;-27.0;-23.0;-21.0;4.226927;0.002027;982;74.942974;1.847059;493;1338119778234;1338884512436
6;31;0;37;0;7203;-40.716507;-48.0;-34.0;-43.0;-40.0;-38.0;3.579717;0.026622;984;74.945122;1.541899;490;1338119778234;1338884512436
6;31;0;41;0;7364;-27.965644;-35.0;-21.0;-29.0;-26.0;-25.0;4.360103;0.004865;979;77.321757;1.270093;490;1338119778234;1338884512436
6;31;0;42;0;7399;-15.806866;-20.0;-12.0;-17.0;-16.0;-15.0;1.777081;0.000135;985;74.700508;2.717874;501;1338119778234;1338884512436
6;31;0;43;0;2705;-44.146765;-47.0;-40.0;-45.0;-45.0;-43.0;1.626647;0.634459;979;76.337079;0.602283;487;1338119778234;1338884512436
6;31;0;44;0;7400;-13.224054;-15.0;-12.0;-14.0;-13.0;-13.0;1.418723;0.000000;987;74.164134;3.218766;488;1338119778234;1338884512436
6;31;0;46;0;7381;-31.034006;-35.0;-27.0;-32.0;-31.0;-30.0;1.440343;0.002568;983;76.399797;1.783004;497;1338119778234;1338884512436
